	FN	FP
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.106	0.000083
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.051	0.000090
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.102	0.000108
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.047	0.000086
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.106	0.000106
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_0-fn_0.05-fp_0.0001-na_0.15	0.049	0.000087
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_0-fn_0.10-fp_0.0001-na_0.15	0.100	0.000101
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_1-fn_0.05-fp_0.0001-na_0.15	0.053	0.000106
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_1-fn_0.10-fp_0.0001-na_0.15	0.098	0.000109
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.05-fp_0.0001-na_0.15	0.048	0.000105
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.10-fp_0.0001-na_0.15	0.095	0.000080
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.05-fp_0.0001-na_0.15	0.052	0.000096
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.10-fp_0.0001-na_0.15	0.108	0.000111
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_1-fn_0.05-fp_0.0001-na_0.15	0.047	0.000094
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_1-fn_0.10-fp_0.0001-na_0.15	0.095	0.000120
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_2-fn_0.05-fp_0.0001-na_0.15	0.052	0.000076
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_2-fn_0.10-fp_0.0001-na_0.15	0.099	0.000093
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.054	0.000110
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.099	0.000105
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.056	0.000085
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.104	0.000113
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.051	0.000094
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.082	0.000104
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_0-fn_0.05-fp_0.0001-na_0.15	0.055	0.000110
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_0-fn_0.10-fp_0.0001-na_0.15	0.091	0.000098
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_1-fn_0.05-fp_0.0001-na_0.15	0.053	0.000108
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_1-fn_0.10-fp_0.0001-na_0.15	0.097	0.000090
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.05-fp_0.0001-na_0.15	0.053	0.000099
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.10-fp_0.0001-na_0.15	0.121	0.000097
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.05-fp_0.0001-na_0.15	0.045	0.000092
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.10-fp_0.0001-na_0.15	0.078	0.000101
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_1-fn_0.05-fp_0.0001-na_0.15	0.058	0.000103
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_1-fn_0.10-fp_0.0001-na_0.15	0.106	0.000094
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_2-fn_0.05-fp_0.0001-na_0.15	0.054	0.000094
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_2-fn_0.10-fp_0.0001-na_0.15	0.090	0.000089
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.048	0.000074
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.087	0.000111
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.052	0.000121
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.117	0.000095
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.056	0.000103
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.104	0.000115
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_0-fn_0.05-fp_0.0001-na_0.15	0.046	0.000088
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_0-fn_0.10-fp_0.0001-na_0.15	0.111	0.000111
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_1-fn_0.05-fp_0.0001-na_0.15	0.051	0.000085
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_1-fn_0.10-fp_0.0001-na_0.15	0.100	0.000087
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.05-fp_0.0001-na_0.15	0.049	0.000097
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.10-fp_0.0001-na_0.15	0.106	0.000095
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.05-fp_0.0001-na_0.15	0.049	0.000105
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.10-fp_0.0001-na_0.15	0.098	0.000090
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_1-fn_0.05-fp_0.0001-na_0.15	0.049	0.000115
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_1-fn_0.10-fp_0.0001-na_0.15	0.094	0.000110
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_2-fn_0.05-fp_0.0001-na_0.15	0.047	0.000102
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_2-fn_0.10-fp_0.0001-na_0.15	0.087	0.000087
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.05-fp_0.0001-na_0.15	0.049	0.000096
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.10-fp_0.0001-na_0.15	0.088	0.000090
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.05-fp_0.0001-na_0.15	0.053	0.000110
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.10-fp_0.0001-na_0.15	0.099	0.000105
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.05-fp_0.0001-na_0.15	0.044	0.000113
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.10-fp_0.0001-na_0.15	0.094	0.000122
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_0-fn_0.05-fp_0.0001-na_0.15	0.052	0.000096
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_0-fn_0.10-fp_0.0001-na_0.15	0.113	0.000092
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_1-fn_0.05-fp_0.0001-na_0.15	0.045	0.000092
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_1-fn_0.10-fp_0.0001-na_0.15	0.116	0.000111
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.05-fp_0.0001-na_0.15	0.049	0.000091
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_2000-k_2-fn_0.10-fp_0.0001-na_0.15	0.106	0.000108
simNo_8-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.05-fp_0.0001-na_0.15	0.051	0.000103
simNo_8-n_100-m_40-s_7-minVAF_0.05-cov_2000-k_0-fn_0.10-fp_0.0001-na_0.15	0.100	0.000098
